0.30	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0.508935	0	0	1	0	0	0.612903226	1	0	0	0	0	0	0	0	0	0	0	0	0.0158	0.02	0	0	1	0	0	0	0
0.33	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0.523945	1	1	1	0	0	0.35483871	0	1	0	0	0	0	0	0	0	0	0	0	0.044	0.02	0.34	0.16	0	1	0	0	0
0.35	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0.50675	1	0	1	0	0	0.516129032	0	0	1	0	0	0	0	0	0	0	0	0	0.037	0.02	0.331	0.04	0	1	0	0	0
0.30	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0.50738	1	1	0	1	0	0.096774194	0	0	0	1	0	0	0	0	0	0	0	0	0.0398	0.08	0	0	1	0	0	0	0
0.59	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0.5	1	0	0	1	0	0.161290323	0	1	0	0	0	0	0	0	0	0	0	0	0.0452	0.02	0	0	1	0	0	0	0
0.35	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0.503735	0	0	1	0	0	0.741935484	0	0	0	0	1	0	0	0	0	0	0	0	0.0282	0.04	0.177	0.12	0	1	0	0	0
0.36	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0.501535	1	0	1	0	0	0.451612903	0	1	0	0	0	0	0	0	0	0	0	0	0.0682	0.02	0.331	0.08	0	0	1	0	0
0.39	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0.500735	1	0	1	0	0	0.193548387	0	1	0	0	0	0	0	0	0	0	0	0	0.0302	0.04	0	0	1	0	0	0	0
0.41	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0.501105	1	0	0	1	0	0.451612903	0	1	0	0	0	0	0	0	0	0	0	0	0.0114	0.04	0	0	1	0	0	0	0
0.43	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0.49956	1	1	1	0	0	0.548387097	0	0	1	0	0	0	0	0	0	0	0	0	0.0626	0.02	0.148	0.08	0	1	0	0	0
0.39	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0.54687	1	0	0	1	0	0.64516129	0	1	0	0	0	0	0	0	0	0	0	0	0.0546	0.02	0	0	1	0	0	0	0
0.43	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0.50132	1	0	1	0	0	0.548387097	0	0	1	0	0	0	0	0	0	0	0	0	0.0226	0.04	0	0	1	0	0	0	0
